epoch,G_total,G_l1,G_adv,G_fft,G_vgg,D_total
1,36.20704426574707,33.880836753845216,2.3262074526647725,0.0,0.0,0.31998869965970517
2,36.34694537862142,34.249456448872884,2.097488955438137,0.0,0.0,0.3776602379580339
3,35.40554638926188,33.46032211812337,1.9452242956161498,0.0,0.0,0.3947673138827085
4,34.3422035446167,32.56415190124512,1.778051585316658,0.0,0.0,0.432026516576608
5,33.56072769927979,31.828336858113605,1.732390825331211,0.0,0.0,0.4342433748443921
6,33.23837498982748,31.47655650583903,1.7618185567657152,0.0,0.0,0.4248887024919192
7,32.86335904184977,31.08938976287842,1.7739692331552506,0.0,0.0,0.4136625619530678
8,32.60683826700846,30.81848092397054,1.7883573256035645,0.0,0.0,0.4142545646627744
9,32.09038677215576,30.293189305623372,1.7971974971195062,0.0,0.0,0.41349509881436824
10,32.14315077209473,30.349418329874673,1.7937324514786401,0.0,0.0,0.42141029304265976
11,31.6820834274292,29.893178413391112,1.7889050407608351,0.0,0.0,0.434499622931083
12,31.332816123962402,29.578879117329915,1.753937049706777,0.0,0.0,0.4296490409870942
13,31.34626383972168,29.60945623779297,1.7368075674772263,0.0,0.0,0.43835002422332764
14,30.912562060038248,29.18033975982666,1.7322222909132639,0.0,0.0,0.4383254920442899
15,30.739235626220704,29.002909451802573,1.736326186299324,0.0,0.0,0.44477207340796787
16,30.736217801411946,28.999848897298175,1.7363689412673315,0.0,0.0,0.43933410276969276
17,30.419776791890463,28.686609418233235,1.7331673497358957,0.0,0.0,0.43739600930611294
18,30.260920598347983,28.504807673136394,1.7561129018863042,0.0,0.0,0.42762546736001966
19,30.220626505533854,28.45414557139079,1.7664809731443722,0.0,0.0,0.4398849220673243
20,30.020486467997234,28.246338111877442,1.7741483687162398,0.0,0.0,0.43087249352037904
21,29.930664189656575,28.13524050649007,1.7954237190485,0.0,0.0,0.427816914409399
22,29.963791440327963,28.16845784505208,1.7953335692087808,0.0,0.0,0.42704276328285534
23,29.774053390502928,27.975883321126304,1.7981700503428777,0.0,0.0,0.4272031799852848
24,29.63824580637614,27.86687943267822,1.7713663376967113,0.0,0.0,0.43040014096101126
25,29.54005926767985,27.766991457621256,1.7730677940448125,0.0,0.0,0.45013995612661045
26,29.35981103515625,27.60378182474772,1.7560291958550611,0.0,0.0,0.43812451548377673
27,29.336417945861818,27.556864728291828,1.7795532560745875,0.0,0.0,0.43593582093715666
28,29.45792706044515,27.665856183369954,1.7920708685715994,0.0,0.0,0.4330365787347158
29,29.09547960662842,27.294969650268555,1.8005099670886993,0.0,0.0,0.4347023121714592
30,28.982066467285158,27.189185015360515,1.7928814480702082,0.0,0.0,0.4367848032315572
31,29.01208394877116,27.211586708068847,1.8004972346623738,0.0,0.0,0.4332266338566939
32,28.93039166768392,27.13305569458008,1.7973360114693642,0.0,0.0,0.43406417628129323
33,28.78441941833496,26.995882748921712,1.788536645869414,0.0,0.0,0.4468092634479205
34,28.75055832163493,26.95958737182617,1.7909709735711417,0.0,0.0,0.4351883834203084
35,28.524227559407553,26.75007150777181,1.7741560622056325,0.0,0.0,0.44176279139518737
36,28.422949244181314,26.648845672607422,1.7741035383542378,0.0,0.0,0.4386548388202985
